# Data structure: one example per line in the form [denom(P), vertices of P*, vertices of denom(P)*P, b(P)]
[175, [[1, 0], [1, 5], [-174, -245]], [[-175, 125], [-175, 0], [70, -49]], 1]
[195, [[1, 0], [1, 9], [-194, -225]], [[-195, 169], [-195, 0], [30, -25]], 1]
[195, [[1, 0], [4, 9], [-269, -225]], [[-195, 234], [-195, 65], [30, -35]], 1]
[195, [[1, 0], [7, 9], [-344, -225]], [[-195, 299], [-195, 130], [30, -45]], 1]
[210, [[1, 0], [11, 25], [-59, -45]], [[-210, 280], [-210, 84], [15, -15]], 1]
[210, [[1, 0], [4, 9], [-164, -75]], [[-210, 462], [-210, 70], [15, -30]], 2]
[210, [[1, 0], [5, 8], [-170, -27]], [[-210, 1330], [-210, 105], [6, -30]], 6]
[231, [[1, 0], [1, 3], [-461, -294]], [[-231, 363], [-231, 0], [63, -98]], 2]
[234, [[1, 0], [0, 1], [-845, -324]], [[-234, 611], [-234, -234], [90, -234]], 5]
[270, [[1, 0], [7, 12], [-209, -150]], [[-270, 378], [-270, 135], [30, -40]], 1]
[286, [[1, 0], [0, 1], [-1352, -363]], [[-286, 1066], [-286, -286], [77, -286]], 6]
[290, [[1, 0], [3, 4], [-229, -25]], [[-290, 2668], [-290, 145], [10, -80]], 9]
[290, [[1, 0], [7, 12], [-254, -75]], [[-290, 986], [-290, 145], [10, -30]], 3]
[306, [[1, 0], [3, 4], [-422, -81]], [[-306, 1598], [-306, 153], [18, -90]], 5]
[340, [[1, 0], [1, 8], [-339, -400]], [[-340, 289], [-340, 0], [60, -50]], 1]
[340, [[1, 0], [5, 8], [-539, -400]], [[-340, 459], [-340, 170], [60, -80]], 1]
[341, [[1, 0], [1, 3], [-681, -121]], [[-341, 1922], [-341, 0], [22, -121]], 6]
[387, [[1, 0], [1, 5], [-386, -81]], [[-387, 1849], [-387, 0], [18, -81]], 5]
[420, [[1, 0], [13, 16], [-197, -54]], [[-420, 1540], [-420, 315], [12, -36]], 3]
[420, [[1, 0], [13, 18], [-239, -150]], [[-420, 672], [-420, 280], [30, -45]], 1]
[441, [[1, 0], [1, 2], [-1322, -243]], [[-441, 2401], [-441, 0], [45, -243]], 6]
[442, [[1, 0], [0, 1], [-1156, -169]], [[-442, 3026], [-442, -442], [65, -442]], 9]
[442, [[1, 0], [1, 3], [-1325, -507]], [[-442, 1156], [-442, 0], [65, -169]], 3]
[450, [[1, 0], [1, 5], [-449, -625]], [[-450, 324], [-450, 0], [175, -125]], 1]
[451, [[1, 0], [1, 2], [-901, -121]], [[-451, 3362], [-451, 0], [33, -242]], 8]
[451, [[1, 0], [1, 4], [-901, -242]], [[-451, 1681], [-451, 0], [33, -121]], 4]
[462, [[1, 0], [1, 6], [-461, -588]], [[-462, 363], [-462, 0], [126, -98]], 1]
[493, [[1, 0], [0, 1], [-1682, -289]], [[-493, 2871], [-493, -493], [85, -493]], 8]
[493, [[1, 0], [1, 2], [-1971, -578]], [[-493, 1682], [-493, 0], [85, -289]], 4]
[572, [[1, 0], [1, 2], [-1715, -726]], [[-572, 1352], [-572, 0], [154, -363]], 3]
[611, [[1, 0], [0, 1], [-2209, -845]], [[-611, 1598], [-611, -611], [234, -611]], 5]
[630, [[1, 0], [13, 24], [-197, -81]], [[-630, 1540], [-630, 315], [18, -36]], 2]
[682, [[1, 0], [1, 6], [-681, -242]], [[-682, 1922], [-682, 0], [44, -121]], 3]
[858, [[1, 0], [1, 3], [-1715, -1089]], [[-858, 1352], [-858, 0], [231, -363]], 2]
[870, [[1, 0], [16, 45], [-129, -100]], [[-870, 1131], [-870, 290], [30, -30]], 1]
[870, [[1, 0], [19, 36], [-329, -225]], [[-870, 1276], [-870, 435], [30, -40]], 1]
[870, [[1, 0], [31, 36], [-404, -225]], [[-870, 1566], [-870, 725], [30, -50]], 1]
[870, [[1, 0], [7, 36], [-254, -225]], [[-870, 986], [-870, 145], [30, -30]], 1]
[882, [[1, 0], [3, 4], [-1565, -486]], [[-882, 2842], [-882, 441], [90, -288]], 3]
[885, [[1, 0], [13, 18], [-459, -100]], [[-885, 4071], [-885, 590], [15, -60]], 4]
[885, [[1, 0], [4, 9], [-409, -50]], [[-885, 7257], [-885, 295], [15, -105]], 8]
[902, [[1, 0], [1, 8], [-901, -484]], [[-902, 1681], [-902, 0], [66, -121]], 2]
[902, [[1, 0], [5, 8], [-1143, -484]], [[-902, 2132], [-902, 451], [66, -154]], 2]
[938, [[1, 0], [1, 5], [-937, -196]], [[-938, 4489], [-938, 0], [42, -196]], 5]
[946, [[1, 0], [5, 8], [-769, -121]], [[-946, 6020], [-946, 473], [22, -132]], 6]
[966, [[1, 0], [11, 20], [-265, -49]], [[-966, 5244], [-966, 483], [14, -56]], 5]
[986, [[1, 0], [1, 4], [-1971, -1156]], [[-986, 1682], [-986, 0], [170, -289]], 2]
[986, [[1, 0], [3, 4], [-2549, -1156]], [[-986, 2175], [-986, 493], [170, -374]], 2]
